,A/A,Air to air TACAN function,,1
,A/C,Aircraft,,1
,AC,Altocumulus,Cloud type,1
,ACC,Altocumulus Castellanus,Cloud type,1
,ACC,Area Control Centre,,1
,A/D,Aerodrome,,1
,A/F,Autofeather,,1
,A/FD,Airport/Facility Directory,,1
,A/P,Autopilot,,1
,AAE,Above aerodrome elevation,"In aviation, above aerodrome level (AAL), or above aerodrome elevation (AAE), denotes that an altitude is given above the nearest aerodrome or airport.",1
,AAIB,Air Accidents Investigation Branch,United Kingdom,1
,AAIM,Aircraft Autonomous Integrity Monitoring,,1
,AAO,Assumed adverse obstacle,,1
,AAS,Airport advisory service,,1
,AC,Advisory circular,Information and guidance publication,1
,ACAM,Aircraft continuous airworthiness monitoring,,1
,ACARS,Aircraft Communications Addressing and Reporting System,,1
,ACAS,Airborne collision avoidance system,,1
,ACC,Area control centre,,1
,ACC,Active clearance control,Turbine engine system,1
,ACC,Accessory,In gas turbine engine,1
,ACE,Actuator control electronics,,1
,ACFT,Aircraft,,1
,ACI,Airports Council International,,1
,ACLS,Automatic carrier landing system,Aircraft carrier operations,1
,ACM,Air cycle machine,Part of A/C air conditioning system,1
,ACMS,Aircraft condition monitoring system,,1
,ACP,Audio Control Panel,,1
,ACR,Avionic Communication Router,,1
,ACS1,Airman Certification Standards,FAA pilot testing,1
,ACS2,Audio control system,,1
,ACU1,Air condition unit,,1
,ACU2,Alternator control unit,Protection from alternator over-voltage.,1
,AD,Airworthiness Directive,,1
,ADA,Advisory area,,1
,ADAHRS,Air data attitude heading reference system,,1
,ADC,Air data computer,,1
,ADD,Acceptable deferred defect,,1
,ADF,Automatic direction finder,Navigation equipment,1
,ADI,Attitude Director Indicator,,1
,ADIRS,Air Data Inertial Reference System,,1
,ADIRU,Air Data Inertial Reference Unit,,1
,ADIZ,Air defense identification zone,,1
,ADJ,Adjustment,Mechanical term,1
,ADM1,Aeronautical decision-making,Piloting term of judgment,1
,ADM2,Air data module,,1
,ADN,Aircraft Data Network,Ethernet derivative for Commercial Aircraft,1
,ADS1,Air data system,,1
,ADS2,Automatic dependent surveillance,,1
,ADS-A,Automatic dependent surveillance – address,,1
,ADS-B,Automatic dependent surveillance – broadcast,,1
,ADS-C,Automatic dependent surveillance – contract,,1
,ADV,Arbeitsgemeinschaft Deutscher Verkehrsflughäfen,German Airports Association,1
,AEA,Association of European Airlines,,1
,AESA,Active electronically scanned array,,1
,AFCS,automatic flight control system,,1
,AFD,Autopilot flight director,,1
,AFDC,Autopilot flight director computer,,1
,AFDS,Autopilot flight director system,,1
,AFDX,Avionics Full-Duplex Switched Ethernet,,1
,AFE,Above field elevation,,1
,AFIS,Airborne flight information system,Also called automatic flight information service,1
,AFM,Aircraft flight manual,,1
,AFS,Aeronautical fixed service,,1
,AFT,Aft The direction against the aircraft movement,,1
,AFTN,Aeronautical Fixed Telecommunication Network,,1
,AGACS,Automatic ground–air communications system,Also known as ATCSS or data link,1
,AGB,Accessory gear box,Mainly used in turbine engine,1
,AGC,automatic gain control,,1
,AGDL,air–ground data link,,1
,AGL,above ground level,,1
,AHC,attitude heading control,,1
,AHRS,Attitude and heading reference system,,1
,AIDS,Aircraft integrated data system,,1
,AIM,Aeronautical Information Manual,,1
,AIP,Aeronautical Information Publication,,1
,AIRAC,Aeronautical information regulation and control,,1
,AIRMET,Air-mission's Meteorological Advisory,In-flight advisory given over 126.7,1
,AIXM,Aeronautical information exchange model,,1
,ALC,Automatic level control,,1
,ALI,Airworthiness Limitation Item,,1
,ALNA,Airline network architecture,,1
,ALS,Approach lighting system,,1
,ALT1,Alternate,,1
,ALT2,Altimeter,,1
,ALT3,Altitude,,1
,ALT HOLD,Altitude hold mode,,1
,ALTS,Altitude select,,1
,ALUM,Aluminum,,1
,AMC,Acceptable Means of Compliance (EASA),,1
,AME,Aircraft Maintenance Engineer,,1
,AME,Aviation Medical Examiner,,1
,AMLCD,Active-matrix liquid-crystal display,,1
,AMM,Aircraft Maintenance Manual,,1
,AMO,Approved Maintenance Organization,,1
,AMS,Air management system,,1
,AMSL,Above mean sea level,,1
,AMP,Aircraft maintenance program,,1
,AMT,Aircraft Maintenance Technician,,1
,ANC,Active noise cancellation,,1
,AND,Aircraft Nose Down,,1
,ANN,Annunciator panel,Caution warning system normally containing visual and audio alerts to the pilot,1
,ANPT,Aeronautical national pipe taper,,1
,ANR,Active noise reduction,,1
,ANSP1,Air navigation service provider,,1
,ANSP2,Authorization of Aircraft Network Security Program (FAA),,1
,ANT,Antenna (radio),,1
,ANSOG,Airport Network Security Operator Guidance (Boeing),,1
,A/O,Air oil,In turbine engines,1
,AOA,Angle of attack,,1
,AOC1,Air operator's certificate,,1
,AOC2,Aeronautical operational control,,1
,AOG,Aircraft on ground,,1
,AOM1,Aircraft operations manual,,1
,AOM2,Airport/aerodrome operating minima,,1
,AOP,Airport operating plan,,1
,AP,Autopilot,,1
,A/P,"Airplane (US), Aeroplane (ICAO)",,1
,APARS,Automatic pressure altitude reporting system,,1
,APC,Auto pilot computer,,1
,APIRS,Attitude and positioning inertial reference system,,1
,APOA,Airport of arrival,,1
,APOD,Airport of departure,,1
,APM,Aircraft personality module,,1
,APP,Appendix,,1
,APPL,Application,,1
,APPROX,Approximately,,1
,APS,Auto pilot system,,1
,APT,Airport,,1
,APU,Auxiliary power unit,,1
,APV,Approach procedure with vertical guidance,Instrumental approach,1
,AQP,Advanced Qualification Program,FAA training and testing,1
,AR,Airworthiness review,,1
,AR,authorization required,,1
,AR,As required,,1
,ARC,Airworthiness review certificate,,1
,ARINC,Aeronautical Radio Inc.,,1
,ARO,Airport reservation office,,1
,ARP,Aerodrome reference point,,1
,ARTCC,Air route traffic control centers,,1
,ASAS,Airborne Separation Assurance System,,1
,ASD,Aircraft situation display,,1
,ASDA,Accelerate Stop Distance Available,,1
,ASDL,Aeronautical satellite data link,,1
,ASI,Airspeed indicator,,1
,ASL,Above sea level,,1
,ASLO,Aircraft Security Logging Overview,,1
,ASM,Airspace management,,1
,ASM,Available seat miles,,1
,A-SMGCS,Advanced Surface Movement Guidance and Control System,,1
,ASSY,Assembly,,1
,A/S,Anti-Skid,,1
,ASR,Airport surveillance radar,,1
,ASU,Avionics switching unit,,1
,A/T,Autothrottle,Also 'AT',1
,A/THR,Autothrust,,1
,ATA,Air Transport Association,,1
,ATAG,Air Transport Action Group,A coalition of aviation industry experts focusing on sustainable development issues.,1
,ATC,Air traffic control,,1
,ATCC,Air traffic control centre,,1
,ATCT,Airport traffic control tower,,1
,ATCRBS,Air traffic control radar beacon system,,1
,ATCSS,Air traffic control signalling system,,1
,ATD,Actual time of departure,Equivalent to off-block time,1
,ATE,Advanced Technology Engine,,1
,ATF,Aerodrome traffic frequency,,1
,ATFM,Air traffic flow management,,1
,ATIS,Automatic Terminal Information Service,,1
,ATM,Air traffic management,,1
,ATN,Aeronautical Telecommunication Network,,1
,ATO,Approved Training Organisation,,1
,ATPL,Airline Transport Pilot Licence,,1
,ATQP,Alternative Training and Qualification Programme,,1
,ATR1 1,Air transportable racking,,1
,ATR2,Automatic thrust restoration,,1
,ATS,Air traffic service,,1
,ATSAW,Airborne traffic situational awareness,,1
,ATSU,Air traffic services unit,Avionics LRU for ACARS,1
,ATT,Attitude,,1
,ATTCS,Automatic Take-off Thrust Control System,,1
,AUPRTA,Airplane Upset Prevention & Recovery Training Aid,,1
,AVAIL,Available,,1
,AVIONICS,Aviation electronics,,1
,AVSA,Adjust vertical speed adjust,TCAS Voice command to adjust traffic separation,1
,AWACS,Airborne Warning and Control System,Airborne early warning and control (AEW&C) or Boeing E-3 Sentry,1
,AWBS,Aviation weather briefing service,Available at designated FSS's,1
,AWG,American Wire Gage,"The larger the size number, the smaller the wire diameter.",1
,AWIS,Aviation weather information service,Available at FSS,1
,AWO,All weather operations,,1
,AWOS,Automated weather observation system,Automated METAR reporting system,1
,AWWS,Aviation weather web site,In Canada,1
,B RNAV,Basic area navigation,,1
,BARO,"Barometric indication, setting or pressure",,1
,BARO-VNAV,Barometric vertical navigation,,1
,BC,back course,Or 'BCRS',1
,BCAA,Belgian Civil Aviation Authority,,1
,BDC,bottom dead centre,Piston engine,1
,BDI,bearing distance indicator,,1
,BFL,balanced field length,,1
,BFR,biennial flight review,,1
,BGAN,Broadcast Global Area Network,,1
,BER,beyond economic repair,Hull loss,1
,BHP,brake horsepower,,1
,BITE,Built-In Test Equipment,,1
,BL,Butt Line,,1
,BME,Bridge Mounted Equipment,,1
,B/P,Blue Print,,1
,BPR,bypass ratio,,1
,BOM,bill of material,,1
,BTV,Brake-to-Vacate System,A new feature introduced by Airbus A380,1
,BWC,bird watch condition,,1
,BVID,Barely Visible Impact Damage,,1
,BVR,Beyond Visual Range,,1
,C2,command and control,,1
,CA,Captain,,1
,CAA,Civil Aviation Authority,,1
,CACTCS,Cabin Air Conditioning and Temperature Control System,"(Pronounced ""Cactus"")",1
,CAI,Caution Advisory Panel,"Sometimes spelled ""caution-advisory"" or ""caution/advisory"". Also known as annunciator panel or Centralized Warning Panel (CWP)",1
,CAM,cockpit area microphone,Part of a cockpit voice recorder,1
,CAME,Continuing Airworthiness Management Exposition,,1
,CAMO,Continuing Airworthiness Management Organisation,,1
,CAMP,Continuous Airworthiness Maintenance Program (FAA),,1
,CAN BUS,Controller Area Network,,1
,CANSO,Civil Air Navigation Services Organisation,,1
,CAP,cabin attendant panel,,1
,CAR,civil aviation regulation,,1
,CARs,civil aviation regulations,,1
,CARS,Canadian Aviation Regulations,,1
,CAS,calibrated airspeed,,1
,CASS,Commercial Air Service Standards,,1
,CASS,continuing analysis and surveillance system,,1
,CAT1,clear air turbulence,,1
,CAT2,Commercial Air Transport,,1
,CAVOK,Ceiling and Visibility OK,Visibility is at least 10 kilometres and no clouds below 5000 feet with no forecasted significant weather change such as precipitation.,1
,CAVU,Ceiling and Visibility Unlimited,,1
,CAW,continuing airworthiness (EASA),,1
,CB,Cumulonimbus cloud,,1
,CBT,computer-based training,,1
,CCRs,closed circuit mixed gas rebreathers,,1
,CCRs,constant current regulators,,1
,CDA,Continuous descent approach,,1
,CDCCL,critical design configuration control limitation,,1
,CDI,course deviation indicator,,1
,CDU,Control Display Unit,,1
,CDFA,Continuous Descent Final Approach,,1
,NUO,,,1
,CDTI,Cockpit display of traffic information,,1
,CDL,configuration deviation list,,1
,CDU,control/display unit,,1
,CFIT,controlled flight into terrain,,1
,CFG,constant frequency generator,,1
,CFR,Code of Federal Regulations,In the United States,1
,CG,center of gravity,,1
,CH,Course Heading,,1
,CHDO,certificate-holding district office (FAA),,1
,CHP,Course Heading Panel,,1
,CHT,Cylinder Head Temperature (Piston engine aviation),,1
,CI,cost index,,1
,C/L,Centre line,,1
,CL,checklist,"A flight deck manual, usually part of a Quick Reference Handbook",1
,CLR,Clear,Seen on GFA and is used for sky coverage,1
,CMC,central maintenance computer,,1
,CMM,component maintenance manual,,1
,CMO,Certificate Management Office,FAA,1
,CMV,converted meteorological visibility,,1
,CMPA,complex motor-powered aircraft,,1
,CMU,Communications Management Unit,,1
,CNS,"Communication, navigation and surveillance",,1
,CNS/ATM,"Communication, navigation and surveillance / Air traffic management",,1
,CODEC,Coder/decoder,,1
,CofA,Certificate of airworthiness,,1
,COMM or COM,"Communications transceiver, Communications receiver, or Communications radio transmitter","Now, normally: either VHF or UHF; HF communications avionics are usually abbreviated simply HF",1
,CORSIA,Carbon Offsetting and Reduction Scheme for International Aviation,,1
,COTS,Commercial off-the-shelf,,1
,CPA,Closest point of approach,,1
,CPDLC,controller–pilot data link communications,,1
,CPR,Changed product rule,EASA,1
,CPS,Cycles per second,,1
,CRD,Comment-response document (EASA),Part of rule making process,1
,CRES,Corrosion resistant steel,,1
,CRM,Crew resource management,,1
,CRT,Cathode ray tube,,1
,CS,certification specification (EASA),,1
,CSD,constant speed drive,,1
,CSDB,Commercial Standard Digital Bus,,1
,CSDB,Collins Standard Digital Bus,,1
,CSN,Cycles since new,"Normally measured in FC or EFC for an aircraft, engine or component",1
,CSO,cycles since overhaul,,1
,CSS,cabin services system,,1
,CSU,constant speed unit,,1
,CSCT,Configuration Item Signer Crater Tool,Boeing,1
,CTAF,common traffic advisory frequency,,1
,CTR,controlled traffic region/control zone,,1
,CV/DFDR,Cockpit voice and digital flight data recorder,See Flight recorder,1
,CVR,cockpit voice recorder,See Flight recorder,1
,CWS,control wheel steering,,1
,D,Compass Deviation,,1
,DA/H,decision altitude/height (rel. to THR),See instrument landing system,1
,DA1,Decision Altitude,Precision approach or vertical guidance,1
,DA2,density altitude,,1
,DA3,Drift angle,,1
,DAH,design approval holder (EASA),,1
,DAPs,Downlink of aircraft parameters,,1
,DBER,damaged beyond economic repair,Hull loss,1
,DCDU,Datalink control and display unit,,1
,DCL,Departure Clearance via CPDLC,,1
,DCP,Display control panel,,1
,DDG,Dispatch deviation guide,https://fsims.faa.gov/WDocs/8400.10%20Air%20Transp%20Ops%20Insp%20Handbk/Volume%204.%20AIRCRAFT%20EQUIPMENT%20AND%20OPERATIONAL%20AUTHORIZATIONS/Vol%204-Chap%204-Sec%203.htm,1
,DEFDARS,Digital Expandable Flight Data Acquisition and Recording System,,1
,DER,departure end of runway,,1
,DER,Designated Engineering Representative,,1
,DEU,display electronic unit,,1
,DFDR,Digital Flight Data Recorder,See flight recorder,1
,DFMC,Dual Frequency Multiple Constellation,,1
,DG,directional gyro,,1
,DGPS,differential GPS,,1
,DGR,Dangerous Goods Regulation,,1
,DH,Decision height,"Precision approach, referred to threshold elevation",1
,DIA,diameter,,1
,DLR,datalink recorder,,1
,DLR,German Aerospace Center / Deutsches Zentrum für Luft- und Raumfahrt e.V.,,1
,DME,distance measuring equipment,,1
,DME,Designated Mechanic Examiner,A person appointed by the FAA,1
,DMI,deferred maintenance item,,1
,DNC,Direct noise canceling,,1
,DO,design organization,,1
,DOA,design organization approval,EASA,1
,DODAR,"diagnose, options, decide, act/assign, review",,1
,DOM,design organization manual,,1
,DOW,dry operational weight,,1
,DP,Departure Procedures,,1
,DPU,Display Processor Unit,,1
,DR,dead reckoning,,1
,DRMC,Direct Reading Magnetic Compass,,1
,DSP,Digital signal processing,,1
,DTO,declared training organisation,,1
,DTU,Data transfer unit,,1
,DUATS,Direct User Access Terminal Service,,1
,DVE,Degraded Visual Environment,,1
,EA,engineering authorisation,,1
,EADI,Electronic Attitude Direction Indicator,,1
,EAS,equivalent airspeed,,1
,EASA,European Aviation Safety Agency,,1
,EAT,expected approach time,,1
,EBOM,engineering Bill of Material,,1
,EBU,engine build-up,,1
,EC,engineering control (also E/C),,1
,ECAM,electronic centralised aircraft monitor,,1
,ECET,end of civil evening twilight,,1
,ECR,Engineering Change Request,,1
,ECS,Environmental control system,,1
,ECU,Engine Control Unit (=EEC),,1
,EDR,engineering data record,,1
,EDTO,extended diversion time operations,,1
,EEC,electronic engine control,,1
,EET,estimated elapsed time,,1
,EFB,electronic flight bag,,1
,EFC1,Engine Flight Cycle,,1
,EFC2,expect further clearance,,1
,EFD,Electronic flight display,,1
,EFFRA,engine failure flap retraction altitude,,1
,EFIS,electronic flight instrument system,,1
,EFH,Engine Flight Hour,,1
,EFP,engine failure procedure,,1
,EFS,elevator feel shift,,1
,EFTO,engine failure on take-off,,1
,EFVS,Enhanced flight visual system,,1
,EGPWS,enhanced ground proximity warning system,,1
,EGI,Embedded GPS Inertial,,1
,EGNOS,European Geostationary Navigation Overlay Service,,1
,EGT,exhaust gas temperature,,1
,EHM,engine health monitoring,,1
,EHS,Enhanced surveillance,,1
,EHSI,Electronic Horizontal Situation Indicator,,1
,EICAS,engine-indicating and crew-alerting system,,1
,EIS,Electronic Instrument System,,1
,E-LSA,experimental light-sport aircraft,,1
,ELAC,elevator and aileron computer,,1
,ELOS,Equivalent Level of Safety,,1
,ELT,emergency locator transmitter,,1
,EMAS,engineered materials arresting system,,1
,EMDP,electric motor driven pump,,1
,ENC,Electronic noise canceling,,1
,ENCASIA,European Network of Civil Aviation Safety Investigation Authorities,,1
,ENG,engine,,1
,ENR,Electronic noise reduction,,1
,EOBT,estimated off-blocktime,,1
,EPA,European part approval (EASA),,1
,EPR,engine pressure ratio,,1
,EPU,Emergency Power Unit,,1
,ERAM,En Route Automation Modernization,,1
,ERM,engineering request for maintenance,,1
,ESA,emergency safe altitude,,1
,ETA,estimated time of arrival,,1
,ETD,estimated time of departure,,1
,ETE,estimated time en route,,1
,ETL,effective translational lift,,1
,ETOPS,Extended-range Twin-engine Operation Performance Standards,,1
,ETSO,"European Technical Standard Order, issued by EASA; see TSO",,1
,EUROCAE,European Organisation for Civil Aviation Equipment,,1
,EVAS,Emergency Vision Assurance System,,1
,EVSI,Enhanced Vision Systems Instrument,,1
,EVS,Enhanced Vision Systems,,1
,EW,Empty Weight,,1
,FAA,Federal Aviation Administration,U.S. Department of Transportation agency,1
,FAC,Final approach course,,1
,FACF,final approach course fix,Point at which the final approach descent is begun,1
,FADEC,full authority digital engine control,Engine equipment,1
,FAC,Flight Augmentation computer,Avionics,1
,FAF,final approach fix,,1
,FAF,first available flight,Airline operations,1
,FALS,full approach lighting system,,1
,FANS,Future Air Navigation System,Avionics,1
,FAP,final approach point,,1
,FAP,forward attendant panel,Aircraft equipment,1
,FAR,Federal Aviation Regulation,FAA regulation,1
,FAR/AIM,Federal Aviation Regulation /,,1
,FAROS,final approach runway occupancy signal,,1
,FAS,final approach segment,,1
,FAT,Free air temperature,,1
,FATO,final approach and take off,,1
,FB,Winds aloft,World Meteorological Organization abbrev. see also FD,1
,FBO,fixed-base operator,Airfield operations,1
,FBS,fixed base simulator,Flight crew training,1
,FBW,fly-by-wire,,1
,FCC,Flight Control Computer,,1
,FC,flight crew,,1
,FCF,functional flight check,Check functionality after maintenance,1
,FCMC,Fuel Control & Monitoring Computer,,1
,FCOM,flight crew operating manual,Aircraft operations,1
,FCS,flight control system,,1
,FCTM,flight crew training manual,,1
,FCU,fuel control unit,In turbine engines,1
,FD,flight director,Avionics,1
,FD,upper winds and temperature forecast,US and Canada abbrev. See also FB,1
,FDAU,flight-data acquisition unit,,1
,FDM,flight data monitoring,Operations planning,1
,FDP,flight duty period,,1
,FDPS,flight plan data processing system,Flight planning,1
,FDR,flight data recorder,Avionics. Also known as 'black box'.,1
,FDRS,flight data recorder system,Avionics,1
,FDTL,flight duty time limitations,,1
,FDU,flux detector unit,,1
,FEP,final end point,,1
,FF,fuel flow,,1
,FFDZ,free fall drop zone (parachutists),,1
,FFS,full flight simulator,Flight crew training,1
,FG,Flight Guidance,,1
,FIC,flight information centre,,1
,FIDO,Fog Investigation and Dispersal Operation,Airfield operations,1
,FIKI,Flight Into Known Icing,Aircraft operations,1
,FIR,flight information region,ATC,1
,FIS,Federal Inspection Services,,1
,FIS-B,Flight information services – broadcast,,1
,FISE,flight information service enroute,,1
,FL,flight level,ATC,1
,FLIR,Forward-looking infra-red,,1
,FLTA,Forward-looking terrain avoidance,,1
,FM,frequency modulation,Example: FM immunity,1
,FMA,flight mode annunciator,Equipment,1
,FMC,flight management computer (part of a FMS),Avionics,1
,FMGC,Flight management and guidance computer,Avionics. Also FMGS: Flight Management & Guidance System,1
,FMS,flight management system,Avionics,1
,FO,first officer,Flight crew,1
,FOB,Fuel On-Board,,1
,FOD,foreign object damage,Airfield operations,1
,FOO,flight operations officer,Airline employee,1
,FOQA,flight operational quality assurance,,1
,FPA,flight path angle,,1
,FPL,filed flight plan,ATC,1
,FPM,feet per minute,,1
,FQIS,Fuel Quantity Indication System,,1
,FREQ,Frequency,,1
,FSDO,Flight Standards District Office (FAA),,1
,FSF,Flight Safety Foundation,U.S.-based nonprofit organisation,1
,FSIMS,Flight Standards Information Management System (FAA),,1
,FSS,flight service station,,1
,FTD,flight training device,Flight crew training,1
,FTL,flight time limitations,,1
,FVU,flux valve unit,Equipment,1
,FWS,Flight warning system,,1
,FYDS,Flight director / yaw damper system,,1
,GA,general aviation,,1
,G/A or GA,go-around,Aborted landing procedure,1
,GAST,GBAS Approach Service Type,,1
,GBAS,Ground based augmentation system,,1
,GCAS,Ground collision avoidance system,,1
,GBST,"ground-based, software tool",Airfield operations,1
,GCA,Ground-controlled approach,Airfield operations,1
,GCU,generator control unit,,1
,GDOP,Geometric dilution of precision,,1
,GEA,Ground effect area,,1
,GGS,Global positioning system ground station,,1
,GHz,Gigahertz,,1
,GLOC,g-induced loss of consciousness,g Is acceleration relevant to the acceleration caused by gravity,1
,GLONASS,Global Navigation Satellite System,Or GNSS,1
,GLNS,GPS Landing and Navigation System,,1
,GLNU,GPS Landing and Navigation Unit,,1
,GLS,GBAS Landing System,,1
,GLU,GPS landing unit,,1
,GM,guidance material (EASA),,1
,GMM,general maintenance manual,,1
,GMT,Greenwich Mean Time,,1
,GND,ground,Airfield operations,1
,GP,glide path,See instrument landing system,1
,GPP,general practices and procedures,,1
,GPS,Global Positioning System,Avionics,1
,GPU,Ground Power Unit,Aerospace Ground Equipment,1
,GPWS,ground proximity warning system,Avionics,1
,G/S,glideslope,Avionics,1
,GS,groundspeed,,1
,GSE,ground support equipment,Aerospace ground equipment,1
,GUMPS,"Gas, Undercarriage, Mixture, Propeller, Seat belts/Switches",Mental checklist before landing,1
,H,Heavy,Wake turbulence category,1
,H,High,,1
,HAA,Height above airport,,1
,HAT,Height Above Touchdown,,1
,HAZMAT,Hazardous Material,,1
,HBCS,High Bandwidth Connectivity System,,1
,HDB,Horizontal Deviation Bar (GS),,1
,HDG,Heading,Navigation,1
,HDG SEL,Heading select,Navigation,1
,HDI,Horizontal Deviation Indicator,,1
,HDOP,Horizontal dilution of precision,,1
,HF,High frequency,,1
,HFE,Human Factors Engineering,,1
,HFES,Human Factors and Ergonomics Society,U.S.-based nonprofit organisation,1
,HHLD,Heading hold,Navigation,1
,HIGE,hover in ground effect,Helicopter operations,1
,HIRL,High Intensity Runway lighting,Airfield operations,1
,HIRO,High Intensity Runway Operation,Airfield operations,1
,HIRTA,High Intensity Radio Transmission Area,,1
,HIWAS,Hazardous Inflight Weather Advisory Service,,1
,HL,Height loss,,1
,HLD,hold,Maintain same altitude or speed or direction,1
,HMG,hydraulic motor generator,,1
,HMD,Helmet-mounted display,,1
,HMU,hydro-mechanical unit,In turbine engine,1
,HOGE,hover out of ground effect,Helicopter operations,1
,HOTAS,Hands On Throttle And Stick,,1
,HPA,human-powered aircraft,Aircraft type,1
,HPC,high pressure compressor,In turbine engine,1
,HPR,High Pressure Rotor,,1
,HPT,high pressure turbine,In turbine engines,1
,HPTACC,high pressure turbine active clearance control,Mainly used in turbofan engines,1
,HSD,High-speed data,,1
,HSI,horizontal situation indicator,Avionics,1
,HSL,Heading select,,1
,HUD,head-up display,Avionics,1
,HUM,Human Remains,,1
,HUMS,Health and usage monitoring systems,,1
,HW,headwind,,1
,HYD,hydraulic,Aircraft equipment,1
,HYDIM,hydraulic interface module,,1
,HZ,Hertz,Symbol for unit of frequency,1
,IAC,instrument approach chart,,1
,IAF,initial approach fix,,1
,IAN,Integrated Approach Navigation,"IAN approaches provide the functions, indications and alerting features similar to an ILS approach (B737 FCTM)",1
,IAP,instrument approach procedure,,1
,IAS,indicated airspeed,,1
,IATA,International Air Transport Association,,1
,IB,inboard,,1
,ICA,Instructions for Continuous Airworthiness,,1
,ICAO,International Civil Aviation Organization,,1
,ICAS,International Council of the Aeronautical Sciences,,1
,ICD,interface control document,,1
,ICO,idle cut-off,,1
,ICTS,ice-contaminated tailplane stall,,1
,ID,identify/identification or identifier,,1
,IDENT,identify/identifier,,1
,IDG,integrated drive generator,Combination of a CSD and generator in a single case,1
,IDS,information display system,Or: integrated display system,1
,IDT,identify,XPDR,1
,IEPR,integrated engine pressure ratio,,1
,IETM,interactive electronic technical manual,,1
,IF,intermediate approach fix,Instrumental approach,1
,IFA,International Federation of Airworthiness,,1
,IFATCA,International Federation of Air Traffic Controllers' Associations,,1
,IFE,in-flight entertainment,,1
,IFF,identification friend or foe,,1
,IFICS,integrated flight instrument and control system,"British Aircraft Corporation, now British Aerospace",1
,IFP,instrument flight procedure,,1
,IFR,instrument flight rules,,1
,IFSD,in-flight shutdown,,1
,IGV,inlet guide vane,,1
,ILS,instrument landing system,,1
,IMC,instrument meteorological conditions,,1
,IML,inside mold line,,1
,IND,indicator,,1
,InHg,inch of mercury,,1
